Variable,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Brazil,1778.87,235.24,225.54,241.13,188.13,135.09,84.43,66.10,53.29,73.38,117.29,159.92,199.34
Sergipe,844.24,38.51,41.30,54.90,91.13,139.72,136.16,120.08,88.33,47.20,33.82,30.29,22.80
Tocantins,1562.57,269.66,239.35,261.16,148.51,50.98,5.48,1.80,4.01,33.86,108.38,202.70,236.69
Ceara,735.05,91.67,121.59,174.24,167.59,86.35,35.09,15.85,5.06,2.10,4.24,8.03,23.26
"Name Unknown",1562.57,269.66,239.35,261.16,148.51,50.98,5.48,1.80,4.01,33.86,108.38,202.70,236.69
"Distrito Federal",1491.15,234.35,213.64,240.00,114.55,28.37,6.93,1.95,10.64,34.86,115.43,229.88,260.54
"Name Unknown",883.89,69.00,57.11,73.22,88.44,88.67,58.56,71.56,45.33,76.11,88.00,81.00,86.89
"Espirito Santo",1238.55,161.13,96.62,150.64,91.85,62.12,34.39,34.46,37.41,54.85,103.45,204.72,206.92
"Name Unknown",883.89,69.00,57.11,73.22,88.44,88.67,58.56,71.56,45.33,76.11,88.00,81.00,86.89
Goias,1564.37,270.02,219.78,231.23,116.89,30.95,10.64,4.70,11.24,43.47,120.39,229.85,275.21
"Name Unknown",883.89,69.00,57.11,73.22,88.44,88.67,58.56,71.56,45.33,76.11,88.00,81.00,86.89
Maranhao,1484.71,217.36,240.28,290.04,234.33,140.62,53.65,33.17,14.45,17.58,44.14,84.62,114.48
"Mato Grosso",1918.42,306.37,302.62,302.63,153.27,56.21,18.22,5.88,19.10,69.52,162.68,236.00,285.93
"Mato Grosso Do Sul",1437.16,222.70,187.42,148.15,100.30,88.10,48.04,35.89,37.69,73.32,138.72,154.39,202.44
"Minas Gerais",1259.96,227.65,155.72,177.61,67.05,29.44,12.19,8.26,10.05,36.07,87.87,195.56,252.50
Para,2217.77,281.99,304.43,344.27,308.23,217.06,117.71,83.30,61.84,73.12,102.52,133.77,189.54
Paraiba,655.55,66.38,86.61,127.29,109.21,80.80,67.16,42.80,23.56,10.58,8.12,10.73,22.32
Parana,1638.11,198.79,175.73,130.87,110.47,123.01,112.98,91.39,72.38,132.55,183.96,140.58,165.40
Pernambuco,645.58,67.41,77.60,104.95,80.39,70.52,64.67,54.45,33.79,15.98,13.48,24.10,38.25
Piaui,897.12,154.84,152.46,179.05,131.79,47.66,9.62,5.12,2.04,6.41,33.23,80.03,94.90
"Rio De Janeiro",1362.38,218.62,145.70,174.11,88.78,64.33,36.81,29.71,30.69,65.06,106.90,186.09,215.56
"Rio Grande Do Norte",614.27,57.14,81.17,128.71,124.13,83.60,63.83,34.10,14.13,5.74,3.77,4.42,13.53
"Rio Grande Do Sul",1714.80,148.09,138.88,125.17,163.36,150.93,139.89,147.33,113.35,145.59,186.48,121.41,134.33
Rondonia,1892.82,287.17,287.30,270.25,178.82,82.79,24.69,13.89,29.43,80.96,156.45,207.04,274.05
Acre,2102.29,295.40,294.97,285.04,191.25,117.30,52.32,45.98,53.17,103.30,191.94,211.76,259.84
Roraima,2351.85,81.56,91.21,122.79,228.44,377.06,370.21,333.55,248.47,159.50,118.71,122.49,97.85
Alagoas,949.45,43.91,47.98,67.32,93.31,154.68,164.35,142.77,107.28,50.96,28.88,23.73,24.26
"Santa Catarina",1818.10,203.74,187.39,138.92,127.03,141.40,129.89,140.12,107.10,154.96,200.03,134.50,153.04
Amapa,2536.55,273.76,313.10,332.05,371.62,378.21,258.22,189.38,107.43,44.45,34.00,65.36,168.97
"Sao Paulo",1359.87,254.92,211.20,159.60,70.14,54.97,44.76,30.82,25.81,65.10,121.79,137.24,183.53
Amazonas,2466.53,279.69,270.50,299.48,281.54,232.98,153.87,122.69,98.92,123.48,161.04,196.29,246.05
Bahia,792.21,108.21,93.07,113.35,68.86,36.85,31.57,29.64,21.61,21.75,44.03,117.87,105.41
