Variable,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Brazil,25.45,26.04,25.95,25.84,25.52,24.65,23.96,23.86,24.83,25.85,26.50,26.22,26.19
Sergipe,25.62,27.32,27.27,27.39,26.45,25.18,23.82,23.02,23.00,24.30,25.70,26.79,27.32
Tocantins,27.23,26.60,26.77,26.92,27.15,27.21,26.56,26.60,27.58,28.92,28.53,27.15,26.78
Ceara,26.75,27.37,26.79,26.29,26.11,25.77,25.54,25.65,26.34,27.28,27.79,27.87,28.16
"Name Unknown",27.23,26.60,26.77,26.92,27.15,27.21,26.56,26.60,27.58,28.92,28.53,27.15,26.78
"Distrito Federal",22.44,22.99,23.05,22.90,22.61,21.44,20.37,20.35,21.94,23.78,24.14,22.90,22.87
"Name Unknown",24.51,26.72,26.40,26.78,25.72,24.59,23.11,22.42,22.02,22.53,23.71,24.42,25.72
"Espirito Santo",23.63,25.74,26.16,25.74,24.52,22.72,21.42,20.92,21.24,22.35,23.66,24.03,25.16
"Name Unknown",24.51,26.72,26.40,26.78,25.72,24.59,23.11,22.42,22.02,22.53,23.71,24.42,25.72
Goias,25.08,25.32,25.51,25.49,25.22,24.10,23.03,23.04,24.81,26.50,26.93,25.58,25.42
"Name Unknown",24.51,26.72,26.40,26.78,25.72,24.59,23.11,22.42,22.02,22.53,23.71,24.42,25.72
Maranhao,27.36,26.87,26.57,26.77,26.90,27.02,26.79,26.97,27.68,28.57,28.41,28.03,27.64
"Mato Grosso",25.86,26.03,26.05,26.01,26.35,25.04,24.10,24.12,25.65,26.71,27.49,26.53,26.25
"Mato Grosso Do Sul",24.87,26.89,26.88,26.35,25.11,22.64,21.50,21.37,23.01,24.89,26.51,26.55,26.87
"Minas Gerais",22.67,24.33,24.62,24.09,23.11,21.18,19.83,19.65,20.79,22.81,24.14,23.64,24.04
Para,26.92,26.33,26.08,26.30,26.57,26.86,26.76,26.73,27.45,27.77,27.83,27.34,26.96
Paraiba,25.37,26.61,26.20,26.09,25.65,25.02,23.73,23.29,23.62,24.85,26.02,26.46,26.97
Parana,19.98,23.56,23.44,22.40,20.35,16.80,15.88,15.56,17.24,19.01,20.85,21.75,23.11
Pernambuco,25.11,26.16,25.86,25.82,25.21,24.74,23.40,23.09,23.22,24.55,26.13,26.33,26.78
Piaui,27.21,26.88,26.48,26.42,26.43,26.53,26.34,26.50,27.28,28.78,28.89,28.26,27.71
"Rio De Janeiro",22.15,24.95,25.17,24.43,23.03,20.64,19.47,18.97,19.45,20.85,22.23,22.68,24.18
"Rio Grande Do Norte",26.93,27.67,27.76,27.49,27.01,26.51,25.76,25.48,25.87,26.70,27.32,27.54,28.06
"Rio Grande Do Sul",19.35,24.52,24.08,22.82,20.02,16.36,14.53,13.61,15.49,16.70,19.38,21.45,23.52
Rondonia,26.25,26.49,26.28,26.04,26.64,25.66,24.58,24.93,26.10,27.04,27.74,27.02,26.51
Acre,25.78,26.29,26.08,26.24,26.17,25.33,24.59,24.46,25.09,26.02,26.44,26.46,26.27
Roraima,26.58,26.81,26.71,26.98,26.65,26.11,25.78,25.60,26.09,26.85,27.28,27.37,26.77
Alagoas,25.11,26.63,26.57,26.71,25.63,24.78,23.44,22.68,22.71,23.82,25.26,26.40,26.85
"Santa Catarina",18.08,22.39,22.06,21.05,18.75,15.34,14.14,13.20,14.78,16.12,18.24,19.59,21.58
Amapa,26.55,25.93,25.60,25.85,26.03,26.29,26.32,26.34,27.01,27.35,27.59,27.36,26.82
"Sao Paulo",22.25,24.77,24.83,24.17,22.60,19.93,18.72,18.71,20.19,21.85,23.37,23.77,24.27
Amazonas,26.79,26.74,26.65,26.71,26.68,26.53,26.29,26.23,26.87,27.29,27.41,27.25,26.85
Bahia,24.82,25.74,25.78,25.76,25.22,24.34,23.22,22.80,23.36,24.74,25.77,25.49,25.73
