Variable,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Brazil,30.81,30.86,30.77,30.56,30.38,29.73,29.56,29.95,31.17,31.93,32.21,31.43,31.17
Sergipe,30.16,32.37,32.13,32.24,30.95,29.11,27.65,26.86,27.11,28.86,30.51,31.84,32.42
Tocantins,32.96,31.24,31.47,31.37,32.12,32.86,33.32,34.03,35.08,35.81,34.48,32.15,31.49
Ceara,31.90,32.50,31.66,30.61,30.55,30.14,30.27,30.92,32.17,33.25,33.75,33.50,33.49
"Name Unknown",32.96,31.24,31.47,31.37,32.12,32.86,33.32,34.03,35.08,35.81,34.48,32.15,31.49
"Distrito Federal",27.87,27.62,27.83,27.58,27.61,26.91,26.40,26.77,28.58,30.33,29.80,27.69,27.33
"Name Unknown",26.69,29.51,28.90,29.48,27.92,26.59,24.91,24.22,23.72,24.43,25.81,26.92,27.92
"Espirito Santo",28.61,30.53,31.52,30.61,29.36,27.70,26.68,26.20,26.63,27.48,28.57,28.41,29.78
"Name Unknown",26.69,29.51,28.90,29.48,27.92,26.59,24.91,24.22,23.72,24.43,25.81,26.92,27.92
Goias,30.93,30.10,30.53,30.49,30.61,30.03,29.73,30.22,32.21,33.35,33.06,30.63,30.19
"Name Unknown",26.69,29.51,28.90,29.48,27.92,26.59,24.91,24.22,23.72,24.43,25.81,26.92,27.92
Maranhao,32.45,31.27,30.81,30.95,31.18,31.70,32.17,32.90,33.98,34.56,34.10,33.21,32.47
"Mato Grosso",32.13,31.16,31.15,31.09,31.87,31.33,31.51,32.16,33.86,33.81,34.14,31.90,31.52
"Mato Grosso Do Sul",30.52,31.72,31.98,31.43,30.31,28.04,27.32,27.91,29.91,31.24,32.34,32.09,32.02
"Minas Gerais",28.70,29.70,30.33,29.44,28.73,27.21,26.43,26.56,27.98,29.66,30.38,28.94,29.19
Para,32.09,30.90,30.55,30.76,31.10,31.69,32.18,32.63,33.48,33.69,33.48,32.65,31.87
Paraiba,30.75,32.27,31.58,31.27,30.38,29.55,28.51,28.15,29.13,30.83,32.14,32.44,32.82
Parana,25.50,28.71,28.55,27.65,25.81,22.01,21.11,21.49,23.63,24.76,26.41,27.50,28.61
Pernambuco,30.22,31.53,30.89,30.94,29.90,29.05,27.83,27.68,28.43,30.23,31.96,31.78,32.39
Piaui,32.76,31.76,31.25,31.09,31.15,31.68,32.34,32.85,33.80,35.24,35.07,33.88,32.96
"Rio De Janeiro",27.23,29.82,30.38,29.26,27.91,25.62,24.95,24.56,25.26,26.09,27.18,27.16,28.81
"Rio Grande Do Norte",32.10,32.86,32.53,32.33,31.59,30.97,30.69,30.43,31.49,32.43,33.13,33.29,33.53
"Rio Grande Do Sul",24.52,29.96,29.30,28.20,25.03,20.98,19.11,18.48,20.73,21.87,24.44,27.13,29.31
Rondonia,31.56,30.83,30.56,29.85,31.36,30.74,30.54,31.85,33.28,33.32,33.37,31.93,31.07
Acre,31.23,31.03,30.87,31.05,31.11,30.63,30.54,31.12,31.98,32.47,31.82,31.34,30.78
Roraima,31.41,31.79,31.70,31.93,31.23,30.35,29.92,29.97,30.74,32.08,32.78,32.64,31.85
Alagoas,29.72,31.78,31.42,31.53,30.02,28.69,27.20,26.42,26.87,28.50,30.33,31.82,32.14
"Santa Catarina",23.43,27.68,27.21,26.33,24.04,20.43,19.26,18.60,20.75,21.47,23.34,25.17,27.14
Amapa,30.83,29.79,29.28,29.61,29.71,30.12,30.36,30.64,31.68,32.42,32.78,32.32,31.20
"Sao Paulo",27.90,29.66,29.89,29.24,28.08,25.51,24.67,25.18,26.98,28.06,29.16,29.16,29.35
Amazonas,31.53,31.10,31.02,30.96,31.00,30.87,31.02,31.51,32.33,32.75,32.47,31.96,31.33
Bahia,30.21,31.10,31.04,30.97,30.20,29.38,28.31,28.25,29.00,30.66,31.64,30.86,31.14
