Variable,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Brazil,20.13,21.28,21.19,21.17,20.72,19.62,18.41,17.81,18.55,19.83,20.83,21.06,21.26
Sergipe,21.13,22.31,22.46,22.59,22.00,21.30,20.04,19.24,18.95,19.80,20.94,21.79,22.28
Tocantins,21.55,22.01,22.11,22.53,22.23,21.60,19.85,19.22,20.13,22.08,22.63,22.20,22.12
Ceara,21.64,22.29,21.97,22.03,21.73,21.46,20.86,20.42,20.55,21.37,21.88,22.28,22.88
"Name Unknown",21.55,22.01,22.11,22.53,22.23,21.60,19.85,19.22,20.13,22.08,22.63,22.20,22.12
"Distrito Federal",17.06,18.42,18.32,18.29,17.65,16.02,14.38,13.99,15.36,17.27,18.53,18.16,18.47
"Name Unknown",22.38,24.02,24.00,24.08,23.52,22.59,21.41,20.72,20.32,20.63,21.71,22.02,23.62
"Espirito Santo",18.70,20.99,20.85,20.93,19.74,17.79,16.21,15.70,15.91,17.28,18.81,19.71,20.60
"Name Unknown",22.38,24.02,24.00,24.08,23.52,22.59,21.41,20.72,20.32,20.63,21.71,22.02,23.62
Goias,19.28,20.59,20.54,20.54,19.89,18.23,16.39,15.91,17.47,19.71,20.85,20.58,20.71
"Name Unknown",22.38,24.02,24.00,24.08,23.52,22.59,21.41,20.72,20.32,20.63,21.71,22.02,23.62
Maranhao,22.31,22.51,22.39,22.65,22.67,22.40,21.45,21.09,21.43,22.62,22.78,22.89,22.85
"Mato Grosso",19.63,20.94,20.99,20.98,20.87,18.80,16.73,16.14,17.50,19.67,20.90,21.20,21.02
"Mato Grosso Do Sul",19.27,22.12,21.84,21.32,19.94,17.29,15.72,14.88,16.17,18.60,20.74,21.06,21.78
"Minas Gerais",16.69,19.01,18.96,18.80,17.53,15.20,13.28,12.78,13.65,16.01,17.95,18.40,18.95
Para,21.80,21.81,21.67,21.90,22.10,22.07,21.38,20.87,21.47,21.90,22.23,22.08,22.10
Paraiba,20.04,21.01,20.88,20.95,20.97,20.54,19.00,18.48,18.15,18.92,19.95,20.53,21.18
Parana,14.50,18.46,18.39,17.19,14.94,11.64,10.70,9.68,10.90,13.31,15.34,16.06,17.66
Pernambuco,20.04,20.85,20.88,20.76,20.57,20.47,19.03,18.55,18.06,18.91,20.35,20.93,21.22
Piaui,21.71,22.05,21.77,21.81,21.76,21.43,20.39,20.21,20.81,22.38,22.76,22.69,22.52
"Rio De Janeiro",17.12,20.13,20.01,19.64,18.19,15.71,14.03,13.43,13.69,15.66,17.33,18.26,19.59
"Rio Grande Do Norte",21.80,22.52,23.03,22.71,22.48,22.11,20.88,20.59,20.29,21.01,21.57,21.84,22.63
"Rio Grande Do Sul",14.23,19.13,18.90,17.49,15.06,11.79,10.01,8.79,10.30,11.57,14.37,15.82,17.78
Rondonia,20.99,22.19,22.06,22.27,21.98,20.63,18.68,18.07,18.97,20.81,22.16,22.17,22.01
Acre,20.39,21.61,21.34,21.48,21.27,20.08,18.68,17.84,18.24,19.63,21.12,21.62,21.81
Roraima,21.80,21.87,21.77,22.09,22.13,21.92,21.70,21.29,21.50,21.68,21.82,22.16,21.75
Alagoas,20.56,21.52,21.77,21.95,21.30,20.93,19.73,18.98,18.59,19.19,20.25,21.04,21.60
"Santa Catarina",12.78,17.16,16.95,15.82,13.52,10.29,9.06,7.84,8.86,10.82,13.19,14.07,16.07
Amapa,22.31,22.12,21.96,22.14,22.40,22.51,22.33,22.08,22.38,22.34,22.45,22.45,22.49
"Sao Paulo",16.65,19.93,19.83,19.15,17.16,14.40,12.82,12.29,13.45,15.69,17.63,18.43,19.24
Amazonas,22.11,22.42,22.32,22.52,22.42,22.24,21.60,21.00,21.47,21.88,22.40,22.59,22.42
Bahia,19.49,20.42,20.56,20.60,20.29,19.36,18.17,17.41,17.76,18.87,19.95,20.17,20.36
